2018-10-17T15:54:20,864 | DEBUG |  | main | Started the metrics manager fiber
2018-10-17T15:54:20,883 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-17T15:57:37,203 | DEBUG |  | main | Started the metrics manager fiber
2018-10-17T15:57:37,221 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-17T15:58:32,970 | DEBUG |  | main | Started the metrics manager fiber
2018-10-17T15:58:32,986 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-18T10:18:42,655 | DEBUG |  | main | Started the metrics manager fiber
2018-10-18T10:18:42,672 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-18T10:19:08,708 | DEBUG |  | main | Started the metrics manager fiber
2018-10-18T10:19:08,740 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-18T10:19:33,108 | DEBUG |  | main | Started the metrics manager fiber
2018-10-18T10:19:33,125 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-18T10:19:56,717 | DEBUG |  | main | Started the metrics manager fiber
2018-10-18T10:19:56,746 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-18T10:23:45,373 | DEBUG |  | main | Started the metrics manager fiber
2018-10-18T10:23:45,383 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-18T10:25:55,617 | DEBUG |  | main | Started the metrics manager fiber
2018-10-18T10:25:55,627 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-18T11:03:53,483 | DEBUG |  | main | Started the metrics manager fiber
2018-10-18T11:03:53,507 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
2018-10-18T11:04:10,564 | DEBUG |  | main | Started the metrics manager fiber
2018-10-18T11:04:10,589 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-0x1@MetricsManagerTest)" registered
